Hotel,Review,Site,Categories and Themes
Capella Singapore,"I would give it negative stars if I could. Had a 3 night stay in one of the suites with a personal plunge pool. They cleaned the pool once during my entire stay and that’s only because I called and complained. Leaves and debris collect in the pool all day so it would have been nice if they had cleaned it daily so we could use it more than once. Service was the worst I’ve ever experienced. You’d call (at least 3 to 5 times before you get an answer) and ask for something and then 45 minutes after , you’d call again to ask again because it still hadn’t arrived. This happened on several occasions. I wrote a very long list of complaints such as ants all over the living room desk, to light shining in at night, to the cleanliness of the room, and there are many more but not worth anymore of my time. Buyer beware, it says 5 star and is ran like a motel (maybe a motel is even ran better). I made my complaints known, and after 3 nights at $1,400 a night they offered me a $200 credit on my stay. They handled it very well, Never again!",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Room Assignment & Condition"", ""categories""=>[""Maintenance issues (broken AC, shower, TV, etc.)"", ""Poor cleanliness (dirty linens, bad odors, pests)""]}, {""theme""=>""Staff & Service Quality"", ""categories""=>[""Rude, inattentive, or unhelpful staff"", ""Lack of staff presence when needed"", ""Poor problem resolution (slow or dismissive responses)"", ""Over-promising but under-delivering on \""luxury\"" standards""]}, {""theme""=>""Facilities & Infrastructure"", ""categories""=>[""Pool, spa, gym not functioning or poorly maintained""]}, {""theme""=>""Value-for-Money"", ""categories""=>[""Guests feeling the experience didn't justify the high price"", ""Comparing negatively to other 5-star or boutique hotels""]}]}"
Capella Singapore,"A massive disappointment - I booked the Capella for the whole family (5 of us) to celebrate my wife’s 50th birthday (20/21 March). If you’re looking for excellent customer service then go to Raffles where we celebrated my birthday last year in great style and with perfect service. At Capella (which was even more expensive), we received a cold welcome, a disaster at breakfast the following day (which wasted two hours of our morning) and the hotel double blocked my credit card, making it go over my limit and causing other transactions to be cancelled. Multiple requests for a senior manager to call me afterwards yielded zero response. I am shocked at the lack of any interest in following up on customer complaints.",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Check-In & Check-Out Process"", ""categories""=>[""Poor service"", ""Surprise charges or billing mistakes""]}, {""theme""=>""Staff & Service Quality"", ""categories""=>[""Rude, inattentive, or unhelpful staff"", ""Poor problem resolution (slow or dismissive responses)""]}, {""theme""=>""Food & Beverage Experience"", ""categories""=>[""Long wait times for in-room dining or restaurants""]}, {""theme""=>""Value-for-Money"", ""categories""=>[""Guests feeling the experience didn't justify the high price"", ""Comparing negatively to other 5-star or boutique hotels""]}]}"
Capella Singapore,"Poor hygiene practise in the pool with pool cleaner’s garden boots in it when we were in pool. We were even snubbed by the pool cleaner when we asked him politely if he could either clean the pool of the leaves barefooted or clean it from the parapet which was perhaps around 50cm below the pool surface. However to be fair, the other staff were friendly and polite, but this poor experience and bad attitude from the pool really killed everything.",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Staff & Service Quality"", ""categories""=>[""Rude, inattentive, or unhelpful staff""]}, {""theme""=>""Facilities & Infrastructure"", ""categories""=>[""Pool, spa, gym not functioning or poorly maintained""]}]}"
Capella Singapore,"My luggage didn't arrive to my room for 30+ minutes and when I called the front, they had forgotten to send my luggage. The villa they gave me was right across from a massive construction site so since my check-in at 3pm, I couldn't open my balcony doors because the noise was so loud. I had to request to transfer to another villa, but had to wait for 1-2 hours so couldn't make any plans to go hangout around the island area. And the first villa room arranged for me had a half used shampoo bottle with its cap opened.  I suggest you to check the location of the villa when they assign you one so you don't have to waste your time. 
The service in the main pool area was very poor and was not accounted for. the pool itself is very nice, but the bells placed in each beach table was useless. I went to the pool 2 times. Once in the morning and once in the afternoon. In the morning, I had to wait 20-30 minutes after pressing the bell and I had to call the main lobby via my cell phone to get someone to bring a towel and some drinks. In the afternoon, I was at the lowest floor of the pool for some quiet swimming time. I kept pressing the bell to get some towel and something to drink, but gave up after waiting for 30 minutes or so. It was a bit far down from the main floor so I couldn't bother to go all the way up to ask for a drink and come back down for swimming. I suggest you bring some drink from your room or make sure you let someone know you will be in a specific seat so you don't have to worry about getting thirsty. ",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Room Assignment & Condition"", ""categories""=>[""Room not ready upon arrival"", ""Poor cleanliness (dirty linens, bad odors, pests)""]}, {""theme""=>""Staff & Service Quality"", ""categories""=>[""Lack of staff presence when needed"", ""Poor problem resolution (slow or dismissive responses)""]}, {""theme""=>""Facilities & Infrastructure"", ""categories""=>[""Noise issues (thin walls, nearby construction, events)""]}, {""theme""=>""Security & Privacy"", ""categories""=>[""Mishandling of guest belongings (lost luggage, theft)""]}]}"
Capella Singapore,"We  booked a staycation from 1 Nov to 3 Nov after our wedding lunch reception at Cassia, Capella's Chinese restaurant. We have expected a high level of service but was thoroughly disappointed by the stay. Below are some details:

1) We had requested for an early check-in so that we can use the room as an utility room for the wedding. However it was not granted given that the hotel was fully occupied. After the lunch reception, i headed to the lobby to check-in but was told in a rude and condescending tone by the door staff to line up properly. The strangest thing was that there was not even a visible line.

2) I was left standing at a corner for almost 20-30 min to wait for the check-in process to be done when I was finally allowed in. Comparatively, i see other guests comfortably sitting down on the sofas and served welcome drinks. Well, I guess I'm not as valued as other guests.

3) When I was finally shown into my room (Room 320; which is supposed to be the sea view room), the hotel staff excitedly exclaimed to me that I had booked a super-nice facing garden view. I corrected him saying I booked a sea-view room - and he almost looked frantic and pointed out a slight sea view at the side. Until today I'm still unsure if I got allocated the correct room.

4) i called housekeeping (which took an average of 45s to 60s for someone to pick up) to ask for some bathroom accessories, and inquired about the activities Capella offered and how we should go about booking the gym facilities. The hotel staff put me on hold to check (I would have thought the front desk would know this much better) and told me that 1) the activities at Capella were all chargeable, and 2) I should call the front desk to book the gym facilities. 

Imagine our surprise when we eventually found out that some of the activities were actually free for all guests (only on our last day), and when we tried booking the gym via a phone call, we were told to book it ourselves via the QR code provided on the desk. First of all, why were we told 2 different things by the hotel front desk. And secondly, why could the hotel front desk just offer to book it for us? It's these small staff that distinguishes a 5 star hotel with a 2 star hotel, and Capella felt like the latter.

5) When we eventually managed to book the gym session, we were surprised that our access cards did not allow entry into the gym. It was hard to even find a hotel staff in sight so we had to head to the lobby to ask for assistance, where we were told we had to check-in there and get our temperatures examined before we were allowed into the gym. Again no one told us about it, and we were getting frustrated by then while we voiced our displeasure to the front desk. 

He did give us $100 of dining vouchers to compensate for the lack of service - but putting  this in perspective, a night stay at Capella would cost upwards of $700 - what does $100 even matter? I would happily give up this $100 for a better service experience.

6) To make things worse - while we were working out in the gym, I saw another hotel guest standing right outside the doors and she apparently could have her temperature measured there instead of at the lobby. Again what is this differentiated treatment between hotel guests?

7) The room was spacious but was obviously dated. I could feel the springs of the bed (I had better sleep at some 2-3 star hotels abroad). The bath towels were dusty and caused my allergies to flare up. The bathroom faucet design was stupid - anyone that stayed there would agree.

8) Hotel guests were allowed to chill at the ""Living Room"" lounge. We were kindly offered drinks but it took forever to arrive (the staff actually forgot our orders twice).

9) I gave my feedback when we checked out and the front desk manager told us that they will take our feedback seriously - and that the management staff will be calling us after our stay. It has been a week since and I have yet to hear from them. I guess words are cheap. 

Also, he tried blaming the poor service standards to Covid measures (which has been around for the last 3 months). Surely a 5 star hotel like Capella should be able to adapt by now?

To be fair, Capella Singapore has its charms - the colonial and Bali-resort feel. But this is let down by the appalling service standards (there are much more which I am just lazy to list down at this point). I would urge everyone to spend their money at more deserving hotels - any of their competitors (Ritz Carlton, Mandarin Oriental, Fullerton) would have better service standards.

The only salvation was probably Cassia and Bob's Bar. Other than that, don't bother coming to this hotel.",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Reservation & Pre-Arrival"", ""categories""=>[""Inflexible Policies""]}, {""theme""=>""Check-In & Check-Out Process"", ""categories""=>[""Long Wait"", ""Poor service""]}, {""theme""=>""Room Assignment & Condition"", ""categories""=>[""Wrong room allocation (e.g., not the one booked)"", ""Maintenance issues (broken AC, shower, TV, etc.)"", ""Poor cleanliness (dirty linens, bad odors, pests)"", ""Outdated or worn-out furnishings""]}, {""theme""=>""Staff & Service Quality"", ""categories""=>[""Rude, inattentive, or unhelpful staff"", ""Lack of staff presence when needed"", ""Poor problem resolution (slow or dismissive responses)"", ""Over-promising but under-delivering on \""luxury\"" standards""]}, {""theme""=>""Food & Beverage Experience"", ""categories""=>[""Long wait times for in-room dining or restaurants""]}, {""theme""=>""Facilities & Infrastructure"", ""categories""=>[""Pool, spa, gym not functioning or poorly maintained""]}, {""theme""=>""Value-for-Money"", ""categories""=>[""Guests feeling the experience didn't justify the high price"", ""Comparing negatively to other 5-star or boutique hotels""]}]}"
Capella Singapore,"“I booked a staycation from Aug 7-9 2020. I was so looking forward to it. To be clear, the staff at the Knolls and spa were great. What you’d expect from a hotel of this caliber.  My trail of disappointments started when I got out of my Grab, and although there were over 5 staff outside, none welcomed me, made eye contact with me (I was literally less than a meter away from them) asked me if I was checking in (I had two weekender bags) nor offered to guide me into the lobby. I finally had to ask someone to open the door since I had my hands full. 

I checked in, the room was lovely, albeit needing a bit of an upgrade (the faucets were super hard to use). 
Upon checkout 2 nights later, I wanted to book a Garden or Palawan villa for the Christmas holidays 2020. My friend and I booked a room each for this stay, she was going to check out of her room later that day. 
I wrote to the reservations team and they got back to me 24 hours later with a rate. But I double checked with them since my friend had been offered (and booked) a rate that was $500 cheaper per night than mine (I was offered $1450 per night, she was offered $951 per night). 
The response I got, again, 24 hours later, was curt (2 lines) and felt very condescending. It simply said (paraphrasing): your friend has DISCOVERY membership. If you let me know your membership number I'll see what I can do. 

The e-mail didn't explain nor even considered that I may not have DISCOVERY membership (I don't and honestly didn't even know about it). 
So I wrote back and explained that my friend had been offered the membership upon checkout (same day I checked out) and given the rate on the spot. I also asked about the disparity in service (if she had been offered membership, why wasn't I and were there certain criteria you needed to meet before being offered it?) 
This was Wednesday August 12 2020. It's August 16 and it doesn't feel like anyone's going to reply to my e-mail (because my friend had already booked, I wrote to them and asked for a reply, nothing to date). 

I can only assume that they’ve decided I'm not really welcomed back at their resort and it honestly makes me feel not only embarrassed but extremely disrespected. I just wanted a simple reply. 

Really disappointing. I’ve travelled far and wide and have stayed at luxury hotels but this is not the sort of “response” you expect from the bookings office. Or the hotel in general.",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Check-In & Check-Out Process"", ""categories""=>[""Poor service""]}, {""theme""=>""Room Assignment & Condition"", ""categories""=>[""Maintenance issues (broken AC, shower, TV, etc.)""]}, {""theme""=>""Staff & Service Quality"", ""categories""=>[""Rude, inattentive, or unhelpful staff"", ""Poor problem resolution (slow or dismissive responses)""]}]}"
Capella Singapore,"Having tried to give my feedback to Capella’s culturist since 18 December and they did not even bother to revert to my feedback. Below are some details of my recent 3 nights stay at Capella Singapore (14-17 December):

1. Room card was deactivated on 15 Dec morning 1030AM, when I went back to the hotel after breakfast we were being locked out.

2. Went to the reception and the lady that assisted me was not honest and well trained. First she told me that I didn't check into my hotel stay properly that 3 nights were to be combined; but even if I stayed 1 night my cards cannot be deactivated in the morning the next day before checkout? After I told her that is not a reason, she told me that my room door lock is a bit faulty, just by scanning the cards at her counter it could miraculously fix the door lock? I didn’t want to continue speaking to her anymore so I head up to the library to ask the lady there to get her duty manager to call me back for explanation.

3. Later that day around noon time the duty manager Rudolph called and again say that due to my 3 separate booking caused some error. He offered to give my parent room late check out (as my parents were only staying one night) which we didn't take the offer and my parents checked out on time.

4. 16 December was my wife's birthday and I wanted to celebrate it well but alas the hotel have an annual electrical/water shutdown? Paying for full day rate but ""chased"" out of the hotel from early morning till 6pm?? email from hotel manager a few days before our trip mentioned that as guests affected we can choose attractions that we would like to go to spend the time outside the hotel, when I called to say we wanted to go to USS and also the SEA aquarium the reception told me that they only offer 1 attraction and since USS was the more expensive attraction they will help to get that for us... We are chased out of the hotel for the whole day not even getting any refund or compensation this is terrible.

5. I had booked Knolls for dinner at 630 pm so we had to drive back around 430pm from RWS, my son was sleeping and therefore we put him in our stroller. When we went to the lift lobby the lifts were not working! No staff around to assist us too, the stairs section was also closed for ""upgrading works"" So I had to push the stroller out of the carpark and climb the steep hill all the way back up to the hotel rooms.

6. We went back to our room around 6pm and we needed to shower to get ready for dinner which we called to push back to 7pm, we were greeted in horror to dirty brown water from all the taps, bathtub, shower, basin! (attached photos that I taken as proof!). We had these dirty water touching our skins when we tried to bath!

Since I cannot get a reply from their hotel culturist email since 18 December, I hope I can get some attention from the hotel’s senior management through this feedback to trip advisor. I have stayed at Capella a number of times and all the stays were top notch but this time it is really really bad.",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Reservation & Pre-Arrival"", ""categories""=>[""Booking Error""]}, {""theme""=>""Check-In & Check-Out Process"", ""categories""=>[""System Errors"", ""Poor service""]}, {""theme""=>""Room Assignment & Condition"", ""categories""=>[""Maintenance issues""]}, {""theme""=>""Staff & Service Quality"", ""categories""=>[""Rude, inattentive, or unhelpful staff"", ""Lack of staff presence when needed"", ""Poor problem resolution (slow or dismissive responses)""]}, {""theme""=>""Technology & Amenities"", ""categories""=>[""Malfunctioning room technology (smart locks, lighting, automation)""]}, {""theme""=>""Facilities & Infrastructure"", ""categories""=>[""Pool, spa, gym not functioning or poorly maintained""]}, {""theme""=>""Value-for-Money"", ""categories""=>[""Guests feeling the experience didn't justify the high price""]}]}"
Capella Singapore,"It was a family staycation at a famous 5 star hotel but unfortunately the experience was not quite right. 

Firstly, the check in experience was bad as I only got my room after the stipulated check in time of 3pm. I had a 4 month old baby with me upon check in and it would be helpful if the room could be earlier or on time. We had to constantly check with the service staff at the counter whether our rooms were ready. And actually 2 of our 5 rooms were ready but no one called to inform us. 

Secondly, as I am a nursing mother, I requested for someone to pick up my ice pack at night and return to me the next morning but no one came. We had to explain to the housekeeping guy (who was nice) but he didn’t quite understand what we wanted him to do. 

Thirdly and the most frustrating are the taps in the toilets. It is so difficult to turn open or close. 5 star hotel but 2 star toilet accessories. 

I have filled up their online feedback form 2 days ago and since then, no one called to find out more. 

This is my first time staying in Capella and honestly the price doesn’t match with the service experienced. We have been to many hotel staycations and so far this is one of the worst.",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Check-In & Check-Out Process"", ""categories""=>[""Long Wait"", ""Room not ready upon arrival""]}, {""theme""=>""Room Assignment & Condition"", ""categories""=>[""Room not ready upon arrival"", ""Maintenance issues (broken AC, shower, TV, etc.)""]}, {""theme""=>""Staff & Service Quality"", ""categories""=>[""Lack of staff presence when needed"", ""Poor problem resolution (slow or dismissive responses)""]}, {""theme""=>""Value-for-Money"", ""categories""=>[""Guests feeling the experience didn't justify the high price"", ""Comparing negatively to other 5-star or boutique hotels""]}]}"
Capella Singapore,"The overall standards of service has dropped tremendously. Rooms are also not updated over the years. For this price you are paying, you can get a better accommodation elsewhere

1. We called ahead to inform we were going to arrive at 12-2pm and to expedite for us to have at least 1 room. Also to notify us if any of the rooms were available

2. We booked 5 rooms, and non of the rooms were ready at 2.45pm. We had to approach the front desk to check. Only to find out 3 of the rooms were ready and the cards were just sitting on their desks until we asked.

3. When I first arrived 1pm, my toddler had car sick and vomited all over her car seat. We asked the front desk if they had laundry service for car seat. They said no. But no concern or care was given and not even wanting to help expedite the room. For all the hotels I have been to, generally the frontdesk will give babies priority. My entourage consisted of 2 babies and yet no such care was given. Truly appalling 

4. The rooms were not updated. Bath tubs took forever to fill and the sink tap was so difficult to twist open. Feedback when checking out and the staff explained.. Capella is celebrating its 10th anniversary and has plans to renovate soon and will feedback this to the engineering team about the design. Once again appalled by the lacklustre service and there is no sense of remorse for the inconvenience you have caused to your guest",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Reservation & Pre-Arrival"", ""categories""=>[""Lack of Confirmation""]}, {""theme""=>""Check-In & Check-Out Process"", ""categories""=>[""Poor service""]}, {""theme""=>""Room Assignment & Condition"", ""categories""=>[""Room not ready upon arrival"", ""Maintenance issues (broken AC, shower, TV, etc.)"", ""Outdated or worn-out furnishings""]}, {""theme""=>""Staff & Service Quality"", ""categories""=>[""Rude, inattentive, or unhelpful staff"", ""Poor problem resolution (slow or dismissive responses)""]}, {""theme""=>""Value-for-Money"", ""categories""=>[""Guests feeling the experience didn't justify the high price"", ""Comparing negatively to other 5-star or boutique hotels""]}]}"
Capella Singapore,"Hi! During my stay in capella, i noticed one of your staff actually being very unprofessional towards her colleagues. Shouting so loudly using very unnecessary words and being mad over some smallest issue and she always picking fights with the malay people as i noticed my stays in capella. i believe her name is Peggy [-]? It doesn't matter the rank or whatsoever during work. You are not supposed to shout to your colleagues like that. It's not nice. If you are not happy on a certain things, you can pull them one side and consult them first before accusing and assuming things. It was a nice stay, capella was nice but just because of this particular person it makes my stay such a waste. I wouldn't want to work with this type of people. it's just not nice. and if i had the chance to voice out to this lady, i would already done it. Please advised your staff on their professionalism. Give them any courses to bucked up on handling each and everyone in that working force. thank you (-:",tripadvisor.com.sg,"{""themes_and_categories""=>[{""theme""=>""Staff & Service Quality"", ""categories""=>[""Rude, inattentive, or unhelpful staff""]}]}"
